customer_id,segment,churn_risk,recommendation,priority,reason,score,confidence,generated_at
CUST_1,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.597503
CUST_2,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.597545
CUST_3,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.597575
CUST_4,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.597602
CUST_5,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.597629
CUST_6,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.597657
CUST_7,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.597684
CUST_8,Low Value,Medium,Onboarding,High,Low engagement customer with no purchases,0.88,High,2026-03-25T21:34:50.597710
CUST_9,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.597736
CUST_10,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.597762
CUST_11,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.597789
CUST_12,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.597815
CUST_13,Low Value,Medium,Onboarding,High,Low engagement customer with no purchases,0.88,High,2026-03-25T21:34:50.597840
CUST_14,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.597866
CUST_15,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.597892
CUST_16,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.597918
CUST_17,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.597944
CUST_18,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.597972
CUST_19,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.597999
CUST_20,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598024
CUST_21,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.598050
CUST_22,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598076
CUST_23,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598101
CUST_24,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598127
CUST_25,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598152
CUST_26,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598178
CUST_27,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.598204
CUST_28,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598229
CUST_29,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598255
CUST_30,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598280
CUST_31,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.598306
CUST_32,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.598331
CUST_33,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.598357
CUST_34,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598382
CUST_35,Low Value,Medium,Onboarding,High,Low engagement customer with no purchases,0.88,High,2026-03-25T21:34:50.598407
CUST_36,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.598433
CUST_37,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.598458
CUST_38,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598484
CUST_39,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.598509
CUST_40,Low Value,High,Retention_Save,Medium,Customer at risk of churn,0.82,High,2026-03-25T21:34:50.598534
CUST_41,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.598559
CUST_42,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.598584
CUST_43,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.598610
CUST_44,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598635
CUST_45,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.598661
CUST_46,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598686
CUST_47,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.598711
CUST_48,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.598737
CUST_49,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598762
CUST_50,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598788
CUST_51,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.598813
CUST_52,Low Value,High,Retention_Save,Medium,Customer at risk of churn,0.82,High,2026-03-25T21:34:50.598838
CUST_53,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.598864
CUST_54,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598889
CUST_55,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.598914
CUST_56,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598944
CUST_57,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.598970
CUST_58,High Value,Low,VIP_Upsell,Medium,"High value, engaged customer",0.78,Medium,2026-03-25T21:34:50.598995
CUST_59,Low Value,High,Retention_Save,Medium,Customer at risk of churn,0.82,High,2026-03-25T21:34:50.599020
CUST_60,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599045
CUST_61,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.599070
CUST_62,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599096
CUST_63,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.599121
CUST_64,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599146
CUST_65,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599171
CUST_66,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599197
CUST_67,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.599222
CUST_68,Low Value,High,Retention_Save,Medium,Customer at risk of churn,0.82,High,2026-03-25T21:34:50.599248
CUST_69,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599273
CUST_70,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599297
CUST_71,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.599323
CUST_72,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.599348
CUST_73,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599374
CUST_74,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599401
CUST_75,Low Value,Medium,Onboarding,High,Low engagement customer with no purchases,0.88,High,2026-03-25T21:34:50.599427
CUST_76,Low Value,Medium,Onboarding,High,Low engagement customer with no purchases,0.88,High,2026-03-25T21:34:50.599453
CUST_77,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599479
CUST_78,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599504
CUST_79,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.599530
CUST_80,Low Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599555
CUST_81,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.599580
CUST_82,Low Value,Medium,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599605
CUST_83,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.599630
CUST_84,Mid Value,Low,No_Action,Low,No immediate action required,0.2,Low,2026-03-25T21:34:50.599655
CUST_85,Mid Value,Low,CrossSell,Medium,Engaged mid-value customer,0.72,Medium,2026-03-25T21:34:50.599681
