run_ts,customer_id,segment,churn_risk,campaign,priority,reason
2026-03-19T10:42:58.151857,CUST_1,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_2,Low Value,Medium,Onboarding,P3,Low value + no purchases (activation journey)
2026-03-19T10:42:58.151857,CUST_3,Low Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_4,Low Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_5,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_6,Low Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_7,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_8,Low Value,Medium,Onboarding,P3,Low value + no purchases (activation journey)
2026-03-19T10:42:58.151857,CUST_9,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_10,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_11,Low Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_12,Low Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_13,Low Value,Medium,Onboarding,P3,Low value + no purchases (activation journey)
2026-03-19T10:42:58.151857,CUST_14,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_15,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_16,Mid Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_17,Mid Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_18,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_19,Low Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_20,Low Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_21,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_22,Mid Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_23,Low Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_24,Low Value,Medium,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_25,Low Value,Medium,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_26,Low Value,Medium,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_27,Mid Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_28,Low Value,Medium,Onboarding,P3,Low value + no purchases (activation journey)
2026-03-19T10:42:58.151857,CUST_29,Mid Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_30,Mid Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_31,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_32,Mid Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_33,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_34,Low Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_35,Low Value,Medium,Onboarding,P3,Low value + no purchases (activation journey)
2026-03-19T10:42:58.151857,CUST_36,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_37,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_38,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_39,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_40,Low Value,High,Retention_Save,P1,High churn risk detected
2026-03-19T10:42:58.151857,CUST_41,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_42,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_43,Mid Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_44,Mid Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_45,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_46,Low Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_47,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_48,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_49,Low Value,Medium,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_50,Low Value,Low,No_Action,P4,Does not meet trigger conditions
2026-03-19T10:42:58.151857,CUST_51,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
2026-03-19T10:42:58.151857,CUST_52,Low Value,High,Retention_Save,P1,High churn risk detected
2026-03-19T10:42:58.151857,CUST_53,Mid Value,Low,CrossSell,P4,High engagement mid-value cross-sell opportunity
