content_id,content_type,category,author,word_count,quality_score,seo_score,publish_status,created_at
CONTENT_1,Article,Retail,Bob,320,0.46,0.64,Published,2026-03-28T18:54:02.918867
CONTENT_2,Blog,Tech,Bob,1356,0.67,0.49,Published,2026-03-28T18:54:02.918879
CONTENT_3,Article,Retail,Bob,1924,0.72,0.66,Draft,2026-03-28T18:54:02.918884
CONTENT_4,Article,Finance,Alice,866,0.41,0.45,Draft,2026-03-28T18:54:02.918889
CONTENT_5,Product Page,Energy,David,677,0.72,0.84,Review,2026-03-28T18:54:02.918894
CONTENT_6,Article,Tech,Alice,1450,0.66,0.7,Review,2026-03-28T18:54:02.918898
CONTENT_7,Blog,Energy,Charlie,1365,0.45,0.75,Review,2026-03-28T18:54:02.918903
CONTENT_8,Article,Retail,Emma,437,0.41,0.31,Review,2026-03-28T18:54:02.918908
CONTENT_9,Landing Page,Tech,Emma,1027,0.72,0.86,Draft,2026-03-28T18:54:02.918912
CONTENT_10,Product Page,Energy,David,1816,0.38,0.66,Published,2026-03-28T18:54:02.918917
CONTENT_11,Blog,Retail,Alice,1812,0.61,0.53,Draft,2026-03-28T18:54:02.918921
CONTENT_12,Landing Page,Health,Emma,1145,0.52,0.72,Review,2026-03-28T18:54:02.918926
CONTENT_13,Landing Page,Health,Alice,911,0.89,0.39,Published,2026-03-28T18:54:02.918930
CONTENT_14,Landing Page,Tech,Emma,1217,0.5,0.48,Published,2026-03-28T18:54:02.918934
CONTENT_15,Product Page,Retail,Alice,686,0.8,0.77,Draft,2026-03-28T18:54:02.918939
CONTENT_16,Blog,Retail,Emma,954,0.76,0.52,Published,2026-03-28T18:54:02.918943
CONTENT_17,Product Page,Health,Emma,324,0.61,0.72,Draft,2026-03-28T18:54:02.918948
CONTENT_18,Product Page,Energy,Emma,1076,0.34,0.32,Draft,2026-03-28T18:54:02.918952
CONTENT_19,Product Page,Finance,David,1009,0.61,0.82,Review,2026-03-28T18:54:02.918957
CONTENT_20,Blog,Tech,Charlie,1985,0.76,0.39,Published,2026-03-28T18:54:02.918961
CONTENT_21,Landing Page,Finance,Charlie,821,0.65,0.64,Published,2026-03-28T18:54:02.918965
CONTENT_22,Product Page,Tech,Emma,1802,0.87,0.9,Published,2026-03-28T18:54:02.918970
CONTENT_23,Article,Tech,Charlie,1181,0.43,0.61,Draft,2026-03-28T18:54:02.918974
CONTENT_24,Article,Finance,Emma,1657,0.55,0.52,Review,2026-03-28T18:54:02.918978
CONTENT_25,Blog,Health,Charlie,652,0.6,0.91,Draft,2026-03-28T18:54:02.918983
CONTENT_26,Blog,Tech,Charlie,961,0.57,0.93,Draft,2026-03-28T18:54:02.918987
CONTENT_27,Landing Page,Energy,David,463,0.65,0.84,Review,2026-03-28T18:54:02.918992
CONTENT_28,Product Page,Energy,Charlie,1642,0.48,0.54,Review,2026-03-28T18:54:02.918996
CONTENT_29,Landing Page,Finance,Charlie,1654,0.33,0.79,Review,2026-03-28T18:54:02.919001
CONTENT_30,Landing Page,Retail,Alice,1151,0.36,0.67,Review,2026-03-28T18:54:02.919005
CONTENT_31,Article,Health,Charlie,1746,0.37,0.7,Review,2026-03-28T18:54:02.919010
CONTENT_32,Blog,Health,Charlie,1091,0.48,0.37,Draft,2026-03-28T18:54:02.919014
CONTENT_33,Product Page,Finance,Emma,1786,0.33,0.63,Review,2026-03-28T18:54:02.919018
CONTENT_34,Landing Page,Health,Bob,1622,0.79,0.74,Draft,2026-03-28T18:54:02.919023
CONTENT_35,Blog,Tech,Charlie,1105,0.89,0.64,Review,2026-03-28T18:54:02.919028
CONTENT_36,Product Page,Health,Bob,1664,0.31,0.58,Review,2026-03-28T18:54:02.919032
CONTENT_37,Blog,Finance,Emma,1803,0.57,0.56,Draft,2026-03-28T18:54:02.919036
CONTENT_38,Blog,Finance,David,1386,0.87,0.74,Draft,2026-03-28T18:54:02.919041
CONTENT_39,Blog,Energy,Bob,829,0.8,0.52,Review,2026-03-28T18:54:02.919045
CONTENT_40,Product Page,Health,Emma,1600,0.47,0.58,Published,2026-03-28T18:54:02.919050
CONTENT_41,Product Page,Finance,Alice,356,0.55,0.6,Draft,2026-03-28T18:54:02.919054
CONTENT_42,Article,Energy,David,490,0.53,0.3,Review,2026-03-28T18:54:02.919059
CONTENT_43,Blog,Energy,Alice,584,0.81,0.42,Published,2026-03-28T18:54:02.919064
CONTENT_44,Landing Page,Health,Charlie,456,0.79,0.31,Review,2026-03-28T18:54:02.919068
CONTENT_45,Article,Tech,David,1697,0.35,0.33,Review,2026-03-28T18:54:02.919073
CONTENT_46,Blog,Energy,Alice,871,0.94,0.6,Draft,2026-03-28T18:54:02.919077
CONTENT_47,Landing Page,Energy,Alice,1134,0.51,0.67,Review,2026-03-28T18:54:02.919081
CONTENT_48,Article,Tech,Bob,1008,0.68,0.61,Published,2026-03-28T18:54:02.919086
CONTENT_49,Landing Page,Retail,Charlie,1625,0.4,0.93,Published,2026-03-28T18:54:02.919090
CONTENT_50,Landing Page,Energy,Bob,1916,0.43,0.93,Draft,2026-03-28T18:54:02.919094
CONTENT_51,Product Page,Finance,Alice,374,0.35,0.59,Review,2026-03-28T18:54:02.919099
CONTENT_52,Landing Page,Energy,Emma,1834,0.32,0.35,Published,2026-03-28T18:54:02.919103
CONTENT_53,Product Page,Retail,Charlie,970,0.66,0.65,Review,2026-03-28T18:54:02.919108
