content_id,content_type,category,tags,page_views,pdf_clicks,ctr,benchmark_ctr,status
CONTENT_1,Article,Retail,,8732,375,0.0429,0.03,Healthy
CONTENT_2,Blog,Tech,"Thought Leadership, Long Read",2313,282,0.1219,0.03,Healthy
CONTENT_3,Article,Retail,Long Read,8678,858,0.0989,0.03,Healthy
CONTENT_4,Article,Finance,Finance,10297,34,0.0033,0.03,Needs Attention
CONTENT_5,Product Page,Energy,"Conversion, Energy",13381,267,0.02,0.03,Below Benchmark
CONTENT_6,Article,Tech,Long Read,3261,144,0.0442,0.03,Healthy
CONTENT_7,Blog,Energy,"Thought Leadership, Energy, Long Read",10795,833,0.0772,0.03,Healthy
CONTENT_8,Article,Retail,,2336,247,0.1057,0.03,Healthy
CONTENT_9,Landing Page,Tech,,1572,41,0.0261,0.03,Below Benchmark
CONTENT_10,Product Page,Energy,"Conversion, Energy, Long Read",1345,55,0.0409,0.03,Healthy
CONTENT_11,Blog,Retail,"Thought Leadership, Long Read",4093,456,0.1114,0.03,Healthy
CONTENT_12,Landing Page,Health,,630,8,0.0127,0.03,Needs Attention
CONTENT_13,Landing Page,Health,,12293,141,0.0115,0.03,Needs Attention
CONTENT_14,Landing Page,Tech,Long Read,12520,1232,0.0984,0.03,Healthy
CONTENT_15,Product Page,Retail,Conversion,8706,905,0.104,0.03,Healthy
CONTENT_16,Blog,Retail,Thought Leadership,13293,1407,0.1058,0.03,Healthy
CONTENT_17,Product Page,Health,Conversion,12461,1791,0.1437,0.03,Healthy
CONTENT_18,Product Page,Energy,"Conversion, Energy",10244,1017,0.0993,0.03,Healthy
CONTENT_19,Product Page,Finance,"Conversion, Finance",14079,1239,0.088,0.03,Healthy
CONTENT_20,Blog,Tech,"Thought Leadership, Long Read",7746,1128,0.1456,0.03,Healthy
CONTENT_21,Landing Page,Finance,Finance,1366,16,0.0117,0.03,Needs Attention
CONTENT_22,Product Page,Tech,"Conversion, Long Read",6474,240,0.0371,0.03,Healthy
CONTENT_23,Article,Tech,,944,63,0.0667,0.03,Healthy
CONTENT_24,Article,Finance,"Finance, Long Read",7027,108,0.0154,0.03,Below Benchmark
CONTENT_25,Blog,Health,Thought Leadership,5029,127,0.0253,0.03,Below Benchmark
